alcom,"0,3965679126",,arq,"0,000013981516435",,totalEdges,154403,,totalLoc,1080286,,noo,143046,,totalClasses,2158,,totalIpr,126536,,totalClasses,2158,
totalFunctions,12732,,totalFunctionsMethods,143046,,totalNodes,76827,,totalCyclomaticComplexity,231230,,,,,externalDependencies,1101,,totalFp,126536,,maxInheritanceDepth,9,
totalClasses,678,,total_service_requests,143046,,totalConnectedComponents,10111,,totalHalsteadVolume,3370503,,,,,sam,"0,4898053753",,totalOpr,76827,,sidc,"0,0041705283",
totalInputParameters,20416,,,,,totalCC,97798,,avgCommentDensity,0,,,,,,,,totalCp,2158,,,,
uniqueParameters,1489,,,,,,,,avgMI,"57,4077300201",,,,,,,,totalOt,768270,,,,
totalMethodFrequencies,12732,,,,,,,,,,,,,,,,,totalWeights,128694,,,,
lcom,"268,8730447",,,,,,,,,,,,,,,,,totalDgs,"36,6010194625",,,,
,,,,,,,,,,,,,,,,,,totalFgs,"5,9697421791",,,,
,,,,,,,,,,,,,,,,,,totalSgm,"218,4986496840",,,,
