alcom,"0,4021829470",,arq,"0,000013978194017",,totalEdges,154401,,totalLoc,1080318,,noo,143080,,totalClasses,2165,,totalIpr,126593,,totalClasses,2165,
totalFunctions,12766,,totalFunctionsMethods,143080,,totalNodes,76854,,totalCyclomaticComplexity,231255,,,,,externalDependencies,1111,,totalFp,126593,,maxInheritanceDepth,9,
totalClasses,685,,total_service_requests,143080,,totalConnectedComponents,10126,,totalHalsteadVolume,3371025,,,,,sam,"0,4868360277",,totalOpr,76854,,sidc,"0,0041570439",
totalInputParameters,20483,,,,,totalCC,97799,,avgCommentDensity,0,,,,,,,,totalCp,2165,,,,
uniqueParameters,1494,,,,,,,,avgMI,"57,4216645414",,,,,,,,totalOt,768540,,,,
totalMethodFrequencies,12766,,,,,,,,,,,,,,,,,totalWeights,128758,,,,
lcom,"275,4953187",,,,,,,,,,,,,,,,,totalDgs,"36,4983833718",,,,
,,,,,,,,,,,,,,,,,,totalFgs,"5,9688718371",,,,
,,,,,,,,,,,,,,,,,,totalSgm,"217,8541726074",,,,
