alcom,"0,3890144410",,arq,"0,000013986013986",,totalEdges,154377,,totalLoc,1079818,,noo,143000,,totalClasses,2148,,totalIpr,126473,,totalClasses,2148,
totalFunctions,12686,,totalFunctionsMethods,143000,,totalNodes,76797,,totalCyclomaticComplexity,231174,,,,,externalDependencies,1080,,totalFp,126473,,maxInheritanceDepth,9,
totalClasses,668,,total_service_requests,143000,,totalConnectedComponents,10100,,totalHalsteadVolume,3369336,,,,,sam,"0,4972067039",,totalOpr,76797,,sidc,"0,0041899441",
totalInputParameters,20326,,,,,totalCC,97780,,avgCommentDensity,0,,,,,,,,totalCp,2148,,,,
uniqueParameters,1485,,,,,,,,avgMI,"57,4358102402",,,,,,,,totalOt,767970,,,,
totalMethodFrequencies,12686,,,,,,,,,,,,,,,,,totalWeights,128621,,,,
lcom,"259,8616466",,,,,,,,,,,,,,,,,totalDgs,"36,7527932961",,,,
,,,,,,,,,,,,,,,,,,totalFgs,"5,9707979257",,,,
,,,,,,,,,,,,,,,,,,totalSgm,"219,4435019756",,,,
