alcom,"0,3859978675",,arq,"0,000013986698650",,totalEdges,154377,,noo,142993,,totalClasses,2139,,totalClasses,2139,,totalIpr,126469,,totalLoc,1079650,
totalFunctions,12679,,totalFunctionsMethods,142993,,totalNodes,76793,,,,,externalDependencies,1068,,maxInheritanceDepth,9,,totalFp,126469,,totalCyclomaticComplexity,231170,
totalClasses,659,,total_service_requests,142993,,totalConnectedComponents,10091,,,,,sam,"0,5007012623",,sidc,"0,0042075736",,totalOpr,76793,,totalHalsteadVolume,3369002,
totalInputParameters,20319,,,,,totalCC,97766,,,,,,,,,,,totalCp,2139,,avgCommentDensity,0,
uniqueParameters,1485,,,,,,,,,,,,,,,,,totalOt,767930,,avgMI,"57,4367256435",
totalMethodFrequencies,12679,,,,,,,,,,,,,,,,,totalWeights,128608,,,,
lcom,"254,3725947",,,,,,,,,,,,,,,,,totalDgs,"36,9013557737",,,,
,,,,,,,,,,,,,,,,,,totalFgs,"5,9710904454",,,,
,,,,,,,,,,,,,,,,,,totalSgm,"220,3413328822",,,,
