alcom,"0,6849018706",,arq,"0,002805049088359",,totalEdges,257,,totalLoc,7619,,noo,713,,totalClasses,70,,totalIpr,837,,totalClasses,70,
totalFunctions,655,,totalFunctionsMethods,713,,totalNodes,443,,totalCyclomaticComplexity,700,,,,,externalDependencies,84,,totalFp,837,,maxInheritanceDepth,2,
totalClasses,70,,total_service_requests,713,,totalConnectedComponents,142,,totalHalsteadVolume,19740,,,,,sam,"-0,2000000000",,totalOpr,443,,sidc,"0,0285714286",
totalInputParameters,1194,,,,,totalCC,98,,avgCommentDensity,0,,,,,,,,totalCp,70,,,,
uniqueParameters,121,,,,,,,,avgMI,"54,0275022964",,,,,,,,totalOt,4430,,,,
totalMethodFrequencies,655,,,,,,,,,,,,,,,,,totalWeights,907,,,,
lcom,"47,9431309",,,,,,,,,,,,,,,,,totalDgs,"7,3285714286",,,,
,,,,,,,,,,,,,,,,,,totalFgs,"4,8842337376",,,,
,,,,,,,,,,,,,,,,,,totalSgm,"35,7944558198",,,,
